Index	Items	Price	PriceWatts	PriceAlternate	Pouch	EffectField	ItemSprite	GroupType	CanUseOnPokemon	GroupIndex	Boost0	Boost1	Boost2	Boost3	ItemID	Data
0	(None)	0	0	0	Medicine	0	-1	None	False	0	0	0	0	0	0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|31|32|0|0|0|0|255|0|0|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
63	皮皮玩偶	300	20	0	Battle	0	63	None	True	0	0	0	0	0	63	44|1|0|0|20|0|0|0|0|0|0|0|0|0|0|0|159|34|30|0|3|1|4|0|8|0|63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
112	白金宝珠	0	0	0	Items	0	112	None	False	0	0	0	0	0	112	0|0|0|0|0|0|0|0|0|0|0|0|2|20|0|0|159|4|60|0|0|0|2|0|240|0|112|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
135	金刚宝珠	0	0	0	Items	0	135	None	False	0	0	0	0	0	135	0|0|0|0|0|0|0|0|0|0|0|0|3|20|0|0|159|4|60|0|0|0|2|0|241|0|135|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
136	白玉宝珠	0	0	0	Items	0	136	None	False	0	0	0	0	0	136	0|0|0|0|0|0|0|0|0|0|0|0|4|20|0|0|159|4|60|0|0|0|2|0|242|0|136|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
149	樱子果	80	0	0	Berries	12	149	Berries	True	0	0	0	0	0	149	80|0|0|0|0|0|0|0|0|0|0|0|5|0|1|80|137|51|10|12|0|1|8|1|0|0|149|0|3|0|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
150	零余果	80	0	0	Berries	12	150	Berries	True	1	0	0	0	0	150	80|0|0|0|0|0|0|0|0|0|0|0|6|0|2|80|138|51|10|12|0|1|8|1|1|0|150|0|3|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
151	桃桃果	80	0	0	Berries	12	151	Berries	True	2	0	0	0	0	151	80|0|0|0|0|0|0|0|0|0|0|0|7|0|3|80|140|51|10|12|0|1|8|1|2|0|151|0|3|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
152	莓莓果	80	0	0	Berries	12	152	Berries	True	3	0	0	0	0	152	80|0|0|0|0|0|0|0|0|0|0|0|8|0|4|80|139|51|10|12|0|1|8|1|3|0|152|0|3|3|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
153	利木果	80	0	0	Berries	12	153	Berries	True	4	0	0	0	0	153	80|0|0|0|0|0|0|0|0|0|0|0|9|0|5|80|142|51|10|12|0|1|8|1|4|0|153|0|3|4|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
154	苹野果	80	0	0	Berries	12	154	Berries	True	5	0	0	0	0	154	80|0|0|0|0|0|0|0|0|0|0|0|10|10|6|80|129|51|10|12|0|1|8|1|5|0|154|0|3|5|0|0|0|0|0|1|0|0|0|0|0|0|0|0|10|0|0|0
155	橙橙果	80	0	0	Berries	12	155	Berries	True	6	0	0	0	0	155	80|0|0|0|0|0|0|0|0|0|0|0|1|10|7|80|131|51|10|12|0|1|8|1|6|0|155|0|3|6|0|0|0|0|0|4|0|0|0|0|0|0|0|10|0|0|0|0
156	柿仔果	80	0	0	Berries	12	156	Berries	True	7	0	0	0	0	156	80|0|0|0|0|0|0|0|0|0|0|0|11|0|8|80|132|51|10|12|0|1|8|1|7|0|156|0|3|7|32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
157	木子果	80	0	0	Berries	12	157	Berries	True	8	0	0	0	0	157	80|0|0|0|0|0|0|0|0|0|0|0|12|0|9|80|130|51|10|12|0|1|8|1|8|0|157|0|3|8|63|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
158	文柚果	80	0	0	Berries	12	158	Berries	True	9	0	0	0	0	158	80|0|0|0|0|0|0|0|0|0|0|0|13|25|10|80|141|51|10|12|0|1|8|1|9|0|158|0|3|9|0|0|0|0|0|4|0|0|0|0|0|0|0|253|0|0|0|0
159	勿花果	80	0	0	Berries	12	159	Berries	True	10	0	0	0	0	159	80|0|0|0|0|0|0|0|0|0|0|0|14|3|11|80|134|19|10|12|0|1|8|1|10|0|159|0|3|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
160	异奇果	80	0	0	Berries	12	160	Berries	True	11	0	0	0	0	160	80|0|0|0|0|0|0|0|0|0|0|0|15|3|12|80|133|19|10|12|0|1|8|1|11|0|160|0|3|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
161	芒芒果	80	0	0	Berries	12	161	Berries	True	12	0	0	0	0	161	80|0|0|0|0|0|0|0|0|0|0|0|16|3|13|80|135|19|10|12|0|1|8|1|12|0|161|0|3|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
162	乐芭果	80	0	0	Berries	12	162	Berries	True	13	0	0	0	0	162	80|0|0|0|0|0|0|0|0|0|0|0|17|3|14|80|143|19|10|12|0|1|8|1|13|0|162|0|3|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
163	芭亚果	80	0	0	Berries	12	163	Berries	True	14	0	0	0	0	163	80|0|0|0|0|0|0|0|0|0|0|0|18|3|15|80|144|19|10|12|0|1|8|1|14|0|163|0|3|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
184	巧可果(火)	80	0	0	Berries	12	184	Berries	True	21	0	0	0	0	184	80|0|0|0|0|0|0|0|0|0|0|0|19|0|0|80|137|3|10|12|0|1|8|1|21|0|184|0|3|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
185	千香果(水)	80	0	0	Berries	12	185	Berries	True	22	0	0	0	0	185	80|0|0|0|0|0|0|0|0|0|0|0|20|0|0|80|138|3|10|12|0|1|8|1|22|0|185|0|3|22|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
186	烛木果(电)	80	0	0	Berries	12	186	Berries	True	23	0	0	0	0	186	80|0|0|0|0|0|0|0|0|0|0|0|21|0|0|80|140|3|10|12|0|1|8|1|23|0|186|0|3|23|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
187	罗子果(草)	80	0	0	Berries	12	187	Berries	True	24	0	0	0	0	187	80|0|0|0|0|0|0|0|0|0|0|0|22|0|0|80|139|3|10|12|0|1|8|1|24|0|187|0|3|24|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
188	番荔果(冰)	80	0	0	Berries	12	188	Berries	True	25	0	0	0	0	188	80|0|0|0|0|0|0|0|0|0|0|0|23|0|0|80|142|3|10|12|0|1|8|1|25|0|188|0|3|25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
189	莲蒲果(格)	80	0	0	Berries	12	189	Berries	True	26	0	0	0	0	189	80|0|0|0|0|0|0|0|0|0|0|0|24|0|0|80|129|3|10|12|0|1|8|1|26|0|189|0|3|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
190	通通果(毒)	80	0	0	Berries	12	190	Berries	True	27	0	0	0	0	190	80|0|0|0|0|0|0|0|0|0|0|0|25|0|0|80|131|3|10|12|0|1|8|1|27|0|190|0|3|27|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
191	腰木果(地)	80	0	0	Berries	12	191	Berries	True	28	0	0	0	0	191	80|0|0|0|0|0|0|0|0|0|0|0|26|0|0|80|132|3|10|12|0|1|8|1|28|0|191|0|3|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
192	棱瓜果(飞)	80	0	0	Berries	12	192	Berries	True	29	0	0	0	0	192	80|0|0|0|0|0|0|0|0|0|0|0|27|0|0|80|130|3|10|12|0|1|8|1|29|0|192|0|3|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
193	福禄果(超)	80	0	0	Berries	12	193	Berries	True	30	0	0	0	0	193	80|0|0|0|0|0|0|0|0|0|0|0|28|0|0|80|141|3|10|12|0|1|8|1|30|0|193|0|3|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
194	扁樱果(虫)	80	0	0	Berries	12	194	Berries	True	31	0	0	0	0	194	80|0|0|0|0|0|0|0|0|0|0|0|29|0|0|80|134|3|10|12|0|1|8|1|31|0|194|0|3|31|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
195	草蚕果(岩)	80	0	0	Berries	12	195	Berries	True	32	0	0	0	0	195	80|0|0|0|0|0|0|0|0|0|0|0|30|0|0|80|133|3|10|12|0|1|8|1|32|0|195|0|3|32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
196	佛柑果(幽)	80	0	0	Berries	12	196	Berries	True	33	0	0	0	0	196	80|0|0|0|0|0|0|0|0|0|0|0|31|0|0|80|135|3|10|12|0|1|8|1|33|0|196|0|3|33|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
197	莓榴果(龙)	80	0	0	Berries	12	197	Berries	True	34	0	0	0	0	197	80|0|0|0|0|0|0|0|0|0|0|0|32|0|0|80|143|3|10|12|0|1|8|1|34|0|197|0|3|34|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
198	刺耳果(恶)	80	0	0	Berries	12	198	Berries	True	35	0	0	0	0	198	80|0|0|0|0|0|0|0|0|0|0|0|33|0|0|80|144|3|10|12|0|1|8|1|35|0|198|0|3|35|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
199	霹霹果(钢)	80	0	0	Berries	12	199	Berries	True	36	0	0	0	0	199	80|0|0|0|0|0|0|0|0|0|0|0|34|0|0|80|136|3|10|12|0|1|8|1|36|0|199|0|3|36|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200	灯浆果(普)	80	0	0	Berries	12	200	Berries	True	37	0	0	0	0	200	80|0|0|0|0|0|0|0|0|0|0|0|35|0|0|80|128|3|10|12|0|1|8|1|38|0|200|0|3|37|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201	枝荔果	80	0	0	Berries	12	201	Berries	True	38	0	0	0	0	201	80|0|0|0|0|0|0|0|0|0|0|0|36|4|16|100|139|19|10|12|0|1|8|1|39|0|201|0|3|38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
202	龙睛果	80	0	0	Berries	12	202	Berries	True	39	0	0	0	0	202	80|0|0|0|0|0|0|0|0|0|0|0|37|4|17|100|142|19|10|12|0|1|8|1|40|0|202|0|3|39|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
203	沙鳞果	80	0	0	Berries	12	203	Berries	True	40	0	0	0	0	203	80|0|0|0|0|0|0|0|0|0|0|0|38|4|18|100|129|19|10|12|0|1|8|1|41|0|203|0|3|40|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
204	龙火果	80	0	0	Berries	12	204	Berries	True	41	0	0	0	0	204	80|0|0|0|0|0|0|0|0|0|0|0|39|4|19|100|131|19|10|12|0|1|8|1|42|0|204|0|3|41|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
205	杏仔果	80	0	0	Berries	12	205	Berries	True	42	0	0	0	0	205	80|0|0|0|0|0|0|0|0|0|0|0|40|4|20|100|132|19|10|12|0|1|8|1|43|0|205|0|3|42|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
206	兰萨果	80	0	0	Berries	12	206	Berries	True	43	0	0	0	0	206	80|0|0|0|0|0|0|0|0|0|0|0|41|4|21|100|130|19|10|12|0|1|8|1|44|0|206|0|3|43|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
207	星桃果	80	0	0	Berries	12	207	Berries	True	44	0	0	0	0	207	80|0|0|0|0|0|0|0|0|0|0|0|42|4|22|100|141|19|10|12|0|1|8|1|45|0|207|0|3|44|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
208	谜芝果	80	0	0	Berries	12	208	Berries	True	45	0	0	0	0	208	80|0|0|0|0|0|0|0|0|0|0|0|43|4|0|100|134|3|10|12|0|1|8|1|46|0|208|0|3|45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
209	奇秘果	80	0	0	Berries	12	209	Berries	True	46	0	0	0	0	209	80|0|0|0|0|0|0|0|0|0|0|0|44|4|23|100|133|19|10|12|0|1|8|1|47|0|209|0|3|46|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
210	释陀果	80	0	0	Berries	12	210	Berries	True	47	0	0	0	0	210	80|0|0|0|0|0|0|0|0|0|0|0|45|4|0|100|135|3|10|12|0|1|8|1|48|0|210|0|3|47|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
211	嘉珍果	80	0	0	Berries	12	211	Berries	True	48	0	0	0	0	211	80|0|0|0|0|0|0|0|0|0|0|0|46|8|0|100|143|3|10|12|0|1|8|1|49|0|211|0|3|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
212	雾莲果	80	0	0	Berries	12	212	Berries	True	49	0	0	0	0	212	80|0|0|0|0|0|0|0|0|0|0|0|47|8|0|100|144|3|10|12|0|1|8|1|50|0|212|0|3|49|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
213	光粉	4000	0	0	Items	0	213	None	False	0	0	0	0	0	213	160|15|0|0|0|0|0|0|0|0|0|0|48|10|0|0|159|4|10|0|0|0|2|0|130|0|213|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
214	白色香草	4000	0	15	Items	0	214	None	False	0	0	0	0	0	214	160|15|0|0|0|0|0|0|15|0|0|0|49|0|0|0|159|20|10|0|0|0|2|1|131|0|214|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
215	强制锻炼器	3000	0	10	Items	0	215	None	False	0	0	0	0	0	215	184|11|0|0|0|0|0|0|10|0|0|0|50|0|0|0|159|4|60|0|0|0|2|0|132|0|215|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
217	先制之爪	4000	0	0	Items	0	217	None	False	0	0	0	0	0	217	160|15|0|0|0|0|0|0|0|0|0|0|51|20|0|0|159|4|80|0|0|0|2|0|133|0|217|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
218	安抚之铃	4000	0	0	Items	0	218	None	False	0	0	0	0	0	218	160|15|0|0|0|0|0|0|0|0|0|0|52|0|0|0|159|4|10|0|0|0|2|0|134|0|218|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
219	心灵香草	4000	0	15	Items	0	219	None	False	0	0	0	0	0	219	160|15|0|0|0|0|0|0|15|0|0|0|53|0|0|0|159|20|10|0|0|0|2|1|135|0|219|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
220	讲究头带	4000	0	25	Items	0	220	None	False	0	0	0	0	0	220	160|15|0|0|0|0|0|0|25|0|0|0|54|0|0|0|159|4|10|0|0|0|2|0|136|0|220|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
221	王者之证	5000	0	0	Items	0	221	None	False	0	0	0	0	0	221	136|19|0|0|0|0|0|0|0|0|0|0|55|10|0|0|159|20|30|0|0|0|2|0|137|0|221|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
222	银粉(虫)	1000	0	0	Items	0	222	None	False	0	0	0	0	0	222	232|3|0|0|0|0|0|0|0|0|0|0|56|20|0|0|159|4|10|0|0|0|2|0|138|0|222|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
223	护符金币	10000	0	0	Items	0	223	None	False	0	0	0	0	0	223	16|39|0|0|0|0|0|0|0|0|0|0|57|10|0|0|159|4|30|0|0|0|2|0|139|0|223|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
224	洁净之符	5000	0	0	Items	0	224	None	False	0	0	0	0	0	224	136|19|0|0|0|0|0|0|0|0|0|0|58|0|0|0|159|4|30|0|0|0|2|0|140|0|224|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
225	心之水滴	0	0	0	Items	0	225	None	False	0	0	0	0	0	225	0|0|0|0|0|0|0|0|0|0|0|0|59|0|0|0|159|4|30|0|0|0|2|0|243|0|225|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
228	烟雾球	4000	0	0	Items	0	228	None	False	0	0	0	0	0	228	160|15|0|0|0|0|0|0|0|0|0|0|62|0|0|0|159|4|30|0|0|0|2|0|141|0|228|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
229	不变之石	3000	0	0	Items	0	229	None	False	0	0	0	0	0	229	184|11|0|0|0|0|0|0|0|0|0|0|63|0|0|0|159|4|30|0|0|0|2|0|142|0|229|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
230	气势头带	4000	0	0	Items	0	230	None	False	0	0	0	0	0	230	160|15|0|0|0|0|0|0|0|0|0|0|64|10|0|0|159|4|10|0|0|0|2|0|143|0|230|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
231	幸运蛋	10000	0	0	Items	0	231	None	False	0	0	0	0	0	231	16|39|0|0|0|0|0|0|0|0|0|0|65|0|0|0|159|4|30|0|0|0|2|0|144|0|231|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
232	焦点镜	4000	0	0	Items	0	232	None	False	0	0	0	0	0	232	160|15|0|0|0|0|0|0|0|0|0|0|66|0|0|0|159|4|30|0|0|0|2|0|145|0|232|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
233	金属膜(钢)	2000	0	0	Items	0	233	None	False	0	0	0	0	0	233	208|7|0|0|0|0|0|0|0|0|0|0|67|20|0|0|159|4|30|0|0|0|2|0|146|0|233|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
234	吃剩的东西	4000	0	0	Items	0	234	None	False	0	0	0	0	0	234	160|15|0|0|0|0|0|0|0|0|0|0|68|10|0|0|159|4|10|0|0|0|2|0|147|0|234|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
236	电气球	1000	0	0	Items	0	236	None	False	0	0	0	0	0	236	232|3|0|0|0|0|0|0|0|0|0|0|70|0|0|0|159|20|30|0|0|0|2|0|148|0|236|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
237	柔软沙子(地)	1000	0	0	Items	0	237	None	False	0	0	0	0	0	237	232|3|0|0|0|0|0|0|0|0|0|0|71|20|0|0|159|4|10|0|0|0|2|0|149|0|237|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
