Index	Items	Price	PriceWatts	PriceAlternate	Pouch	EffectField	ItemSprite	GroupType	CanUseOnPokemon	GroupIndex	Boost0	Boost1	Boost2	Boost3	ItemID	Data
0	(None)	0	0	0	Medicine	0	-1	None	False	0	0	0	0	0	0	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|31|32|0|0|0|0|255|0|0|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1	大师球	0	0	0	Balls	0	1	Ball	False	0	0	0	0	0	1	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|3|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2	高级球	800	40	0	Balls	0	2	Ball	False	1	0	0	0	0	2	32|3|0|0|40|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|2|0|2|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
3	超级球	600	30	0	Balls	0	3	Ball	False	2	0	0	0	0	3	88|2|0|0|30|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|1|0|3|0|1|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
4	精灵球	200	10	0	Balls	0	4	Ball	False	3	0	0	0	0	4	200|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|0|0|4|0|1|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
5	狩猎球	0	0	0	Balls	0	5	Ball	False	4	0	0	0	0	5	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|23|0|5|0|1|4|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
6	捕网球	1000	50	0	Balls	0	6	Ball	False	5	0	0	0	0	6	232|3|0|0|50|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|6|0|6|0|1|5|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
7	潜水球	1000	50	0	Balls	0	7	Ball	False	6	0	0	0	0	7	232|3|0|0|50|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|8|0|7|0|1|6|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
8	巢穴球	1000	50	0	Balls	0	8	Ball	False	7	0	0	0	0	8	232|3|0|0|50|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|7|0|8|0|1|7|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
9	重复球	1000	50	0	Balls	0	9	Ball	False	8	0	0	0	0	9	232|3|0|0|50|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|12|0|9|0|1|8|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
10	计时球	1000	50	0	Balls	0	10	Ball	False	9	0	0	0	0	10	232|3|0|0|50|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|10|0|10|0|1|9|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
11	豪华球	3000	100	0	Balls	0	11	Ball	False	10	0	0	0	0	11	184|11|0|0|100|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|13|0|11|0|1|10|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
12	纪念球	20	0	1	Balls	0	12	Ball	False	11	0	0	0	0	12	20|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|4|0|12|0|1|11|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
13	黑暗球	1000	50	0	Balls	0	13	Ball	False	12	0	0	0	0	13	232|3|0|0|50|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|9|0|13|0|1|12|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
14	治愈球	300	20	0	Balls	0	14	Ball	False	13	0	0	0	0	14	44|1|0|0|20|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|5|0|14|0|1|13|13|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
15	先机球	1000	50	0	Balls	0	15	Ball	False	14	0	0	0	0	15	232|3|0|0|50|0|0|0|0|0|0|0|0|0|0|0|159|33|0|0|1|0|5|0|11|0|15|0|1|14|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
